List of MCUs selection: 1617 items. Database version: Wed Jan 22 05:50:05 PST 2020,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Part No,Reference,Marketing Status,Unit Price for 10kU (US$),Board,Package,Flash,RAM,IO,Freq.
STM32F103TB,STM32F103TBUx,Active,2.358,,VFQFPN36,128 kBytes,20 kBytes,26,72 MHz
STM32F103V8,STM32F103V8Hx,Active,2.539,,LFBGA100,64 kBytes,20 kBytes,82,72 MHz
STM32F103V8,STM32F103V8Tx,Active,2.539,,LQFP100,64 kBytes,20 kBytes,82,72 MHz
STM32F103VB,STM32F103VBHx,Active,2.841,,LFBGA100,128 kBytes,20 kBytes,82,72 MHz
STM32F103VB,STM32F103VBIx,Active,2.841,,UFBGA100,128 kBytes,20 kBytes,82,72 MHz
STM32F103VB,STM32F103VBTx,Active,2.841,,LQFP100,128 kBytes,20 kBytes,82,72 MHz
STM32F103VC,STM32F103VCHx,Active,3.251,,LFBGA100,256 kBytes,48 kBytes,82,72 MHz
STM32F103VC,STM32F103VCTx,Active,3.251,,LQFP100,256 kBytes,48 kBytes,82,72 MHz
STM32F103VD,STM32F103VDHx,Active,3.683,,LFBGA100,384 kBytes,64 kBytes,82,72 MHz
STM32F103VD,STM32F103VDTx,Active,3.683,,LQFP100,384 kBytes,64 kBytes,82,72 MHz
STM32F103VE,STM32F103VEHx,Active,4.092,,LFBGA100,512 kBytes,64 kBytes,82,72 MHz
STM32F103VE,STM32F103VETx,Active,4.092,,LQFP100,512 kBytes,64 kBytes,82,72 MHz
STM32F103VF,STM32F103VFTx,Active,4.524,,LQFP100,768 kBytes,96 kBytes,82,72 MHz
STM32F103VG,STM32F103VGTx,Active,4.955,,LQFP100,1024 kBytes,96 kBytes,82,72 MHz
STM32F103ZC,STM32F103ZCHx,Active,3.819,,LFBGA144,256 kBytes,48 kBytes,114,72 MHz
STM32F103ZC,STM32F103ZCTx,Active,3.819,,LQFP144,256 kBytes,48 kBytes,114,72 MHz
STM32F103ZD,STM32F103ZDHx,Active,4.179,,LFBGA144,384 kBytes,64 kBytes,114,72 MHz
STM32F103ZD,STM32F103ZDTx,Active,4.179,,LQFP144,384 kBytes,64 kBytes,114,72 MHz
STM32F103ZE,STM32F103ZEHx,Active,4.617,,LFBGA144,512 kBytes,64 kBytes,114,72 MHz
STM32F103ZE,STM32F103ZETx,Active,4.617,,LQFP144,512 kBytes,64 kBytes,114,72 MHz
STM32F103ZF,STM32F103ZFHx,Active,5.049,,LFBGA144,768 kBytes,96 kBytes,114,72 MHz
STM32F103ZF,STM32F103ZFTx,Active,5.049,,LQFP144,768 kBytes,96 kBytes,114,72 MHz
STM32F103ZG,STM32F103ZGHx,Active,5.48,,LFBGA144,1024 kBytes,96 kBytes,114,72 MHz
STM32F103ZG,STM32F103ZGTx,Active,5.48,STM3210E-EVAL,LQFP144,1024 kBytes,96 kBytes,114,72 MHz
STM32F105R8,STM32F105R8Tx,Active,2.299,,LQFP64,64 kBytes,64 kBytes,51,72 MHz
STM32F105RB,STM32F105RBTx,Active,2.601,,LQFP64,128 kBytes,64 kBytes,51,72 MHz
STM32F105RC,STM32F105RCTx,Active,2.968,,LQFP64,256 kBytes,64 kBytes,51,72 MHz
STM32F105V8,STM32F105V8Hx,Active,2.638,,LFBGA100,64 kBytes,64 kBytes,82,72 MHz
STM32F105V8,STM32F105V8Tx,Active,2.638,,LQFP100,64 kBytes,64 kBytes,82,72 MHz
STM32F105VB,STM32F105VBHx,Active,2.94,,LFBGA100,128 kBytes,64 kBytes,82,72 MHz
STM32F105VB,STM32F105VBTx,Active,2.94,,LQFP100,128 kBytes,64 kBytes,82,72 MHz
STM32F105VC,STM32F105VCTx,Active,3.35,,LQFP100,256 kBytes,64 kBytes,82,72 MHz
STM32F107RB,STM32F107RBTx,Active,3.049,,LQFP64,128 kBytes,64 kBytes,51,72 MHz
STM32F107RC,STM32F107RCTx,Active,3.459,,LQFP64,256 kBytes,64 kBytes,51,72 MHz
STM32F107VB,STM32F107VBTx,Active,3.381,,LQFP100,128 kBytes,64 kBytes,82,72 MHz
STM32F107VC,STM32F107VCHx,Active,3.748,,LFBGA100,256 kBytes,64 kBytes,82,72 MHz
STM32F107VC,STM32F107VCTx,Active,3.748,STM3210C-EVAL,LQFP100,256 kBytes,64 kBytes,82,72 MHz
STM32F205RB,STM32F205RBTx,Active,3.172,,LQFP64,128 kBytes,64 kBytes,51,120 MHz
STM32F205RC,STM32F205RCTx,Active,3.404,,LQFP64,256 kBytes,96 kBytes,51,120 MHz
STM32F205RE,STM32F205RETx,Active,3.496,,LQFP64,512 kBytes,128 kBytes,51,120 MHz
STM32F205RE,STM32F205REYx,Active,3.496,,WLCSP66,512 kBytes,128 kBytes,51,120 MHz
STM32F205RF,STM32F205RFTx,Active,4.422,,LQFP64,768 kBytes,128 kBytes,51,120 MHz
STM32F205RG,STM32F205RGEx,Proposal,4.422,,EWLCSP66,1024 kBytes,128 kBytes,51,120 MHz
